Family,Sub-Family,Solution Capability,Capability Narrative (Paramified),Capability Narrative (Plain Text),Responsible Role,Integrator Role,Integrator Responsibility (Paramified),Integrator Responsibility (Plain Text),End User Role,End User Responsibility (Paramified),End User Responsibility (Plain Text),Implementation Status,Stack Inheritable,Provider Origination,Integrator Origination,End User Origination,Main Component,Target Date,Target Date Remarks,Target Date Remarks (Plain Text),Suggested Mappings,Applicable Products,Applicable Collections,Stack,Reviewed By,Reviewed By Email,Reviewed At,Reviewer Notes,Approval Status,Reviewers,Evidences
System Monitoring,Audit Logging,System Monitoring Legal Opinion,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" works with its internal legal counsel and the ""},{""type"":""mention"",""value"":""InfoSec Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" staff to obtain valid legal opinions on applicable federal laws, Executive Orders, directives, policies, or regulations related to ""},{""type"":""mention"",""value"":""InfoSec Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" monitoring activities.""}]}]","#THIS ORGANIZATION works with its internal legal counsel and the @InfoSec Admin staff to obtain valid legal opinions on applicable federal laws, Executive Orders, directives, policies, or regulations related to @InfoSec Admin monitoring activities.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Security Monitoring Process,,,,"SM-27_smt+ADOBE_CCF_OS_V5
au-14.1_smt+NIST_800_53_REV_5
au-14.3_smt+NIST_800_53_REV_5
au-14_smt.b+NIST_800_53_REV_5
si-4_smt.f+NIST_800_53_REV_4
si-4_smt.f+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Development,Code Review,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" code undergoes peer review by a ""},{""type"":""mention"",""value"":""Developer:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" for static analysis to identify common flaws. Changes are implemented, reviewed, and approved before deployment into the staging environment.""}]}]","#THIS SYSTEM code undergoes peer review by a @Developer, using @unknown for static analysis to identify common flaws. Changes are implemented, reviewed, and approved before deployment into the staging environment.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Software Development Life Cycle Process,,,,"3.4.4_smt.a+NIST_800_171_REV_2
VM-13_smt+ADOBE_CCF_OS_V5
cmt-03_smt+KSI_PHASE_1
sa-11.1_smt+NIST_800_53_REV_4
sa-11.1_smt+NIST_800_53_REV_5
sa-11.2_smt+NIST_800_53_REV_4
sa-11.2_smt.a+NIST_800_53_REV_5
sa-11.2_smt.b+NIST_800_53_REV_5
sa-11.2_smt.c+NIST_800_53_REV_5
sa-11.2_smt.d+NIST_800_53_REV_5
sa-11.8_smt+NIST_800_53_REV_4
sa-11.8_smt+NIST_800_53_REV_5
sa-11_smt.a+NIST_800_53_REV_4
sa-11_smt.a+NIST_800_53_REV_5
sa-11_smt.b+NIST_800_53_REV_4
sa-11_smt.b+NIST_800_53_REV_5
sa-11_smt.c+NIST_800_53_REV_4
sa-11_smt.c+NIST_800_53_REV_5
sa-11_smt.d+NIST_800_53_REV_4
sa-11_smt.d+NIST_800_53_REV_5
sa-11_smt.e+NIST_800_53_REV_4
sa-11_smt.e+NIST_800_53_REV_5
sa-4.3_smt.c+NIST_800_53_REV_5
sa-8.11_smt+NIST_800_53_REV_5
sa-8.30_smt+NIST_800_53_REV_5
si-10.6_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Asset Management,Component Installation & Maintenance,Maintenance Tracking:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" uses a ""},{""type"":""smart-tag"",""value"":""project-type"",""children"":[{""text"":""""}]},{""text"":""-compliant cloud platform, ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"", which implements maintenance tracking controls.""}]}]","#THIS SYSTEM uses a #PROGRAM TYPE-compliant cloud platform, @unknown, which implements maintenance tracking controls.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"3.7.2_smt.b+NIST_800_171_REV_2
3.7.2_smt.d+NIST_800_171_REV_2
ma-2.2_smt.b+NIST_800_53_REV_4
ma-2.2_smt.b+NIST_800_53_REV_5
ma-2_smt.f+NIST_800_53_REV_4
ma-2_smt.f+NIST_800_53_REV_5
ma-4.1_smt.a+NIST_800_53_REV_5
ma-4_smt.d+NIST_800_53_REV_4
ma-4_smt.d+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Asset Management,Software Inventory,Open Source Software,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" only uses open-source software that is in compliance with the DoD Memorandum on OSS guidelines. Before introduction to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"", all software must be approved by the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"". The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" updates and patches all open source software within the patching time periods of ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS ORGANIZATION only uses open-source software that is in compliance with the DoD Memorandum on OSS guidelines. Before introduction to #THIS SYSTEM, all software must be approved by the @Change Control Board. The @DevOps Admin updates and patches all open source software within the patching time periods of #THIS ORGANIZATION.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Software Approval Process,,,,"cm-10.1_smt+NIST_800_53_REV_4
cm-10.1_smt+NIST_800_53_REV_5
cm-7.8_smt.a+NIST_800_53_REV_5
si-7.14_smt.b+NIST_800_53_REV_4
si-7.8_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Data Protection,Data Sharing,Not Publicly Accessible,"[{""type"":""p"",""children"":[{""text"":""Access to ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" is authorized via web session or API calls only. ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" doesn't share ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" information publicly. Any modifications to configurations or policy affecting the dissemination of information publicly must be approved by the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" as part of the ""},{""type"":""mention"",""value"":""Data Inventory Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Access to #THIS SYSTEM is authorized via web session or API calls only. #THIS ORGANIZATION doesn't share #THIS SYSTEM information publicly. Any modifications to configurations or policy affecting the dissemination of information publicly must be approved by the @Change Control Board as part of the @Data Inventory Process.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Data Inventory Process,,,,"3.1.22_smt.a+NIST_800_171_REV_2
3.1.22_smt.b+NIST_800_171_REV_2
3.1.22_smt.c+NIST_800_171_REV_2
3.1.22_smt.d+NIST_800_171_REV_2
DM-21_smt+ADOBE_CCF_OS_V5
ac-21_smt.a+NIST_800_53_REV_4
ac-21_smt.a+NIST_800_53_REV_5
ac-21_smt.b+NIST_800_53_REV_4
ac-21_smt.b+NIST_800_53_REV_5
ac-22_smt.a+NIST_800_53_REV_4
ac-22_smt.a+NIST_800_53_REV_5
ac-22_smt.b+NIST_800_53_REV_4
ac-22_smt.b+NIST_800_53_REV_5
ac-22_smt.c+NIST_800_53_REV_4
ac-22_smt.c+NIST_800_53_REV_5
ac-22_smt.d+NIST_800_53_REV_4
ac-22_smt.d+NIST_800_53_REV_5
ac-23_smt+NIST_800_53_REV_5
ac-8_smt.c+NIST_800_53_REV_4
ac-8_smt.c+NIST_800_53_REV_5
au-16.3_smt+NIST_800_53_REV_5
iam-03_smt+KSI_PHASE_1
pe-8.3_smt+NIST_800_53_REV_5
sc-7.28_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Compliance Program,Compliance Service Provider Assurance,ATO,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" has an authorization to operate (ATO) for its services provided to ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","@unknown has an authorization to operate (ATO) for its services provided to #THIS ORGANIZATION.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,INHERITED,,,,,,,"ac-20.1_smt.a+NIST_800_53_REV_4
ac-20.1_smt.a+NIST_800_53_REV_5
ac-20.1_smt.b+NIST_800_53_REV_4
ac-20.1_smt.b+NIST_800_53_REV_5
cp-7.3_smt+NIST_800_53_REV_4
cp-7.3_smt+NIST_800_53_REV_5
cp-8.4_smt.b+NIST_800_53_REV_4
cp-8.4_smt.b+NIST_800_53_REV_5
cp-8_smt+NIST_800_53_REV_4
cp-8_smt+NIST_800_53_REV_5
sa-9_smt.a+NIST_800_53_REV_4
sa-9_smt.a+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Session Management,Administrative Session Termination:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" automatically terminates administrative sessions after 10 minutes of inactivity or when the user logs out. Authentication is required to unlock a locked session. This is set up on all devices using ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS SYSTEM automatically terminates administrative sessions after 10 minutes of inactivity or when the user logs out. Authentication is required to unlock a locked session. This is set up on all devices using @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.11_smt.b+NIST_800_171_REV_2
3.13.9_smt.a+NIST_800_171_REV_2
3.13.9_smt.b+NIST_800_171_REV_2
3.13.9_smt.c+NIST_800_171_REV_2
IAM-16_smt+ADOBE_CCF_OS_V5
ac-11.1_smt+NIST_800_53_REV_4
ac-11.1_smt+NIST_800_53_REV_5
ac-11_smt.a+NIST_800_53_REV_4
ac-11_smt.a+NIST_800_53_REV_5
ac-11_smt.b+NIST_800_53_REV_4
ac-11_smt.b+NIST_800_53_REV_5
ac-12_smt+NIST_800_53_REV_4
ac-12_smt+NIST_800_53_REV_5
iam-06_smt+KSI_PHASE_1
ma-4.7_smt+NIST_800_53_REV_5
sc-10_smt+NIST_800_53_REV_4
sc-10_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Data Security Alert Sources,Prepared Audit Queries:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" allows ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" to search and link audit records to provide a chain of activities with event investigations. ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" alerts and health reports include:""}]},{""type"":""ul"",""children"":[{""type"":""li"",""children"":[{""text"":""missing/stopped forwarders,""}]},{""type"":""li"",""children"":[{""text"":""MFA activity,""}]},{""type"":""li"",""children"":[{""text"":""configuration baselines,""}]},{""type"":""li"",""children"":[{""text"":""failed logins,""}]},{""type"":""li"",""children"":[{""text"":""data feed status,""}]},{""type"":""li"",""children"":[{""text"":""external and internal connections monitoring,""}]},{""type"":""li"",""children"":[{""text"":""root/administrative account activity, and""}]},{""type"":""li"",""children"":[{""text"":""permission and object changes.""}]}]}]","@unknown allows #THIS ORGANIZATION to search and link audit records to provide a chain of activities with event investigations. @unknown alerts and health reports include:
missing/stopped forwarders,
MFA activity,
configuration baselines,
failed logins,
data feed status,
external and internal connections monitoring,
root/administrative account activity, and
permission and object changes.

",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.12_smt.d+NIST_800_171_REV_2
SM-22_smt+ADOBE_CCF_OS_V5
au-7.1_smt+NIST_800_53_REV_4
au-7.1_smt+NIST_800_53_REV_5
cna-02_smt+KSI_PHASE_1
inr-02_smt+KSI_PHASE_1
si-4.1_smt+NIST_800_53_REV_4
si-4.1_smt+NIST_800_53_REV_5
si-4_smt.a+NIST_800_53_REV_4
si-4_smt.a+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Development,Software Development Lifecycle Process,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" has a defined ""},{""type"":""mention"",""value"":""Software Development Life Cycle Process:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" for software development on ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"". The ""},{""type"":""mention"",""value"":""Product Manager:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and ""},{""type"":""mention"",""value"":""Developer:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" review product requirements and create user stories in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]},{""type"":""p"",""children"":[{""text"":""""},{""type"":""mention"",""value"":""Developer:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" uses ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" for standard naming conventions, creating branches, and running automated tests.""}]},{""type"":""p"",""children"":[{""text"":""After coding is completed, the ""},{""type"":""mention"",""value"":""Developer:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" ensures that the requirements are satisfied, attaches a code review template, and marks it \""under review.\"" ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" automatically runs a suite of tests to ensure ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" is working correctly.""}]},{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" lead completes the final review of changes and pushes them from staging to production. The ""},{""type"":""mention"",""value"":""DevOps Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" monitors the environment to ensure ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" works correctly.""}]}]","#THIS ORGANIZATION has a defined @Software Development Life Cycle Process for software development on #THIS SYSTEM. The @Product Manager and @Developer review product requirements and create user stories in @unknown.
@Developer uses @unknown for standard naming conventions, creating branches, and running automated tests.
After coding is completed, the @Developer ensures that the requirements are satisfied, attaches a code review template, and marks it ""under review."" @unknown automatically runs a suite of tests to ensure #THIS SYSTEM is working correctly.
The @DevOps Admin lead completes the final review of changes and pushes them from staging to production. The @DevOps Admin monitors the environment to ensure #THIS SYSTEM works correctly.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Software Development Life Cycle Process,,,,"3.13.2_smt.b+NIST_800_171_REV_2
3.13.2_smt.e+NIST_800_171_REV_2
SLC-01_smt+ADOBE_CCF_OS_V5
cm-3.2_smt+NIST_800_53_REV_4
cm-3.2_smt+NIST_800_53_REV_5
piy-04_smt+KSI_PHASE_1
sa-15_smt.a+NIST_800_53_REV_4
sa-15_smt.a+NIST_800_53_REV_5
sa-3.1_smt+NIST_800_53_REV_5
sa-3.2_smt.a+NIST_800_53_REV_5
sa-3.2_smt.b+NIST_800_53_REV_5
sa-3_smt.a+NIST_800_53_REV_4
sa-3_smt.a+NIST_800_53_REV_5
sa-3_smt.d+NIST_800_53_REV_4
sa-3_smt.d+NIST_800_53_REV_5
sa-4.3_smt.a+NIST_800_53_REV_5
sa-4.3_smt.b+NIST_800_53_REV_5
sa-4.3_smt.c+NIST_800_53_REV_5
sa-8.13_smt+NIST_800_53_REV_5
sa-8.16_smt+NIST_800_53_REV_5
sa-8.1_smt+NIST_800_53_REV_5
sa-8.25_smt+NIST_800_53_REV_5
sa-8.26_smt+NIST_800_53_REV_5
sa-8.30_smt+NIST_800_53_REV_5
sa-8.3_smt+NIST_800_53_REV_5
sa-8.4_smt+NIST_800_53_REV_5
sa-8.7_smt+NIST_800_53_REV_5
sa-8.8_smt+NIST_800_53_REV_5
sc-18.2_smt+NIST_800_53_REV_5
sc-38_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Asset Management,Component Installation & Maintenance,Portable Media Restrictions,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" employees cannot connect portable media devices to the ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" environment or external information systems according to company policy and the ""},{""type"":""mention"",""value"":""Rules of Behavior Agreement:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" they agree to.""}]}]","#THIS ORGANIZATION employees cannot connect portable media devices to the #THIS SYSTEM environment or external information systems according to company policy and the @Rules of Behavior Agreement they agree to.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Rules of Behavior Agreement,,,,"3.1.21_smt.a+NIST_800_171_REV_2
3.1.21_smt.b+NIST_800_171_REV_2
3.1.21_smt.c+NIST_800_171_REV_2
3.8.7_smt.a+NIST_800_171_REV_2
3.8.8_smt.a+NIST_800_171_REV_2
AM-09_smt+ADOBE_CCF_OS_V5
ac-20.2_smt+NIST_800_53_REV_4
ac-20.2_smt+NIST_800_53_REV_5
ac-20.3_smt+NIST_800_53_REV_5
mp-7.1_smt+NIST_800_53_REV_4
mp-7_smt+NIST_800_53_REV_4
mp-7_smt.a+NIST_800_53_REV_5
mp-7_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Data Protection,Data Encryption,Information with Special Protection Measures,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" does not handle information that requires special protection measures.  Refer to the FIPS 199 impact categorization document.""}]}]","#THIS SYSTEM does not handle information that requires special protection measures.  Refer to the FIPS 199 impact categorization document.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Data Inventory Process,,,,"ps-3.3_smt.a+NIST_800_53_REV_4
ps-3.3_smt.a+NIST_800_53_REV_5
ps-3.3_smt.b+NIST_800_53_REV_4
ps-3.3_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Logical Identity & Access,Session Management,SSH Session Termination:,"[{""type"":""p"",""children"":[{""text"":""""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"" automatically terminates SSH sessions after 10 minutes of inactivity or when the user logs out. Authentication is required to unlock a locked session. This is enforced by ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","#THIS SYSTEM automatically terminates SSH sessions after 10 minutes of inactivity or when the user logs out. Authentication is required to unlock a locked session. This is enforced by @unknown.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.11_smt.b+NIST_800_171_REV_2
3.13.9_smt.a+NIST_800_171_REV_2
3.13.9_smt.b+NIST_800_171_REV_2
3.13.9_smt.c+NIST_800_171_REV_2
ac-11.1_smt+NIST_800_53_REV_4
ac-11.1_smt+NIST_800_53_REV_5
ac-11_smt.a+NIST_800_53_REV_4
ac-11_smt.a+NIST_800_53_REV_5
ac-11_smt.b+NIST_800_53_REV_4
ac-11_smt.b+NIST_800_53_REV_5
ac-12_smt+NIST_800_53_REV_4
ac-12_smt+NIST_800_53_REV_5
iam-06_smt+KSI_PHASE_1
ma-4.7_smt+NIST_800_53_REV_5
sc-10_smt+NIST_800_53_REV_4
sc-10_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Monitoring,Audit Logging,Audit Logging Criteria:,"[{""type"":""p"",""children"":[{""text"":""The ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" configures ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" to include audit records enforcing non-repudiation and containing details such as the type of event, when and where it occurred, the event's source, outcome, full-text recording of privileged commands, and associated identities.""}]}]","The @Change Control Board configures @unknown to include audit records enforcing non-repudiation and containing details such as the type of event, when and where it occurred, the event's source, outcome, full-text recording of privileged commands, and associated identities.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"3.1.7_smt.d+NIST_800_171_REV_2
3.3.1_smt.b+NIST_800_171_REV_2
3.3.1_smt.d+NIST_800_171_REV_2
3.3.2_smt.a+NIST_800_171_REV_2
3.4.3_smt.d+NIST_800_171_REV_2
SM-30_smt+ADOBE_CCF_OS_V5
au-10_smt+NIST_800_53_REV_4
au-10_smt+NIST_800_53_REV_5
au-14.1_smt+NIST_800_53_REV_5
au-14_smt.a+NIST_800_53_REV_5
au-14_smt.b+NIST_800_53_REV_5
au-16.1_smt+NIST_800_53_REV_5
au-16.3_smt+NIST_800_53_REV_5
au-2_smt.b+NIST_800_53_REV_4
au-2_smt.b+NIST_800_53_REV_5
au-3.1_smt+NIST_800_53_REV_4
au-3.1_smt+NIST_800_53_REV_5
au-3_smt+NIST_800_53_REV_4
au-3_smt.a+NIST_800_53_REV_5
au-3_smt.b+NIST_800_53_REV_5
au-3_smt.c+NIST_800_53_REV_5
au-3_smt.d+NIST_800_53_REV_5
au-3_smt.e+NIST_800_53_REV_5
au-3_smt.f+NIST_800_53_REV_5
au-9.6_smt+NIST_800_53_REV_5
ma-3.5_smt+NIST_800_53_REV_5
ma-4.1_smt.a+NIST_800_53_REV_5
ma-4.1_smt.b+NIST_800_53_REV_5
sa-8.22_smt+NIST_800_53_REV_5
sc-7.15_smt+NIST_800_53_REV_5
sc-7.9_smt.b+NIST_800_53_REV_5
si-4.25_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Development,Comprehensive Error Log Management:,"[{""type"":""p"",""children"":[{""text"":""Detailed error information is tracked in ""},{""type"":""mention"",""value"":""unknown:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"" and is only accessible to the ""},{""type"":""mention"",""value"":""Change Control Board:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Detailed error information is tracked in @unknown and is only accessible to the @Change Control Board.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,,,,,"si-11_smt.b+NIST_800_53_REV_4
si-11_smt.b+NIST_800_53_REV_5
si-15_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
System Operations,System Development,Basic Error Code Notifications,"[{""type"":""p"",""children"":[{""text"":""End users are given limited error codes or reference lists without corrective actions in case of application failures or API errors.""}]}]","End users are given limited error codes or reference lists without corrective actions in case of application failures or API errors.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Software Development Life Cycle Process,,,,"VM-16_smt+ADOBE_CCF_OS_V5
si-11_smt.a+NIST_800_53_REV_4
si-11_smt.a+NIST_800_53_REV_5
si-15_smt+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
Entity Governance,Information Security Program,Resource Allocation,"[{""type"":""p"",""children"":[{""text"":""Quarterly resource allocation reviews are conducted by ""},{""type"":""smart-tag"",""value"":""this-organization"",""children"":[{""text"":""""}]},{""text"":"" for all cloud products, including ""},{""type"":""smart-tag"",""value"":""this-system"",""children"":[{""text"":""""}]},{""text"":"". Teams estimate resource usage for hardware, software, licensing, and staff, and develop a capital expenditure plan for approval by the  ""},{""type"":""mention"",""value"":""Operations Admin:ELEMENT"",""children"":[{""text"":""""}]},{""text"":"".""}]}]","Quarterly resource allocation reviews are conducted by #THIS ORGANIZATION for all cloud products, including #THIS SYSTEM. Teams estimate resource usage for hardware, software, licensing, and staff, and develop a capital expenditure plan for approval by the  @Operations Admin.
",Change Control Board,,,,,,,IMPLEMENTED,FALSE,SERVICE_PROVIDER_SYSTEM,,,Resource Planning Process,,,,"sa-2_smt.a+NIST_800_53_REV_4
sa-2_smt.a+NIST_800_53_REV_5
sa-2_smt.b+NIST_800_53_REV_4
sa-2_smt.b+NIST_800_53_REV_5",,All Jake's Test Offerings,,,,,,NOT_SET,,
